Country;Economic status1;Coastal population2;Waste generation rate [kg/person/day]3;% Plastic in waste stream4;% Inadequately managed waste5;% Littered waste6;Waste generation [kg/day]7;Plastic waste generation [kg/day]7;Inadequately managed plastic waste [kg/day]7;"Plastic waste littered
 [kg/day]7";Mismanaged plastic waste [kg/person/day]7;"Mismanaged plastic waste in 2010
 [tonnes]7";"Mismanaged plastic waste in 2025
 [tonnes]7";Per capita plastic waste (kilograms per person per day)
Papua New Guinea;LMI;2.747.514;0.79;13;86;2;2.170.536;281.084;240.502;5.622;90,000;89.835;242.328;103
Peru;UMI;13.765.608;1.2;12;25;2;16.518.730;1.973.988;493.267;39.480;39,000;194.453;377.111;144
Philippines;LMI;83.446.862;0.5;15;81;2;41.723.431;6.237.653;5.035.956;124.753;62,000;1.883.659;5.088.394;75
Poland;UMI;3.272.933;0.88;11;12;2;2.880.181;315.380;36.715;6.308;13,000;15.703;26.855;97
Portugal;HIC;8.507.951;2.21;12;0;2;18.802.572;2.246.907;0;44.938;5,000;16.402;19.382;265
Puerto Rico;HIC;4.249.848;2.1;12;2;2;8.924.681;1.066.499;23.923;21.330;11,000;16.517;20.481;252
Qatar;HIC;653.007;1.33;12;0;2;868.499;103.786;0;2.076;3,000;758;1.560;0.16
Reunion;UMI;809.426;1.2;12;0;2;971.311;116.072;0;2.321;3,000;847;1.615;144
Romania;UMI;875.170;1.04;4;26;2;910.177;35.952;9.172;719;11,000;3.610;8.261;42
Russia;UMI;10.812.537;0.93;12;16;2;10.055.659;1.201.651;197.226;24.033;20,000;80.759;128.946;112
Saint Helena;UMI;6.839;1.2;12;25;2;8.207;981;244;20;39,000;96;182;144
Saint Kitts and Nevis;UMI;36.102;5.45;12;6;2;196.756;23.512;1.489;470;54,000;715;742;654
Saint Lucia;UMI;163.227;4.35;12;20;2;710.037;84.849;16.683;1.697;113,000;6.709;8.610;522
Saint Maarten. DWI;HIC;37.429;2.1;12;0;2;78.601;9.393;3;188;5,000;70;98;252
Saint Pierre;HIC;5.888;2.1;12;0;2;12.365;1.478;0;30;5,000;11;15;252
Saint Vincent and the Grenadines;UMI;120.149;1.7;13;21;2;204.253;26.451;5.621;529;51,000;2.245;2.996;221
Samoa;LMI;168.025;0.79;13;80;2;132.740;17.190;13.688;344;84,000;5.122;10.989;103
Sao Tome and Principe8;LMI;163.740;0.79;13;81;2;129.355;16.751;13.587;335;85,000;5.081;13.309;103
Saudi Arabia;HIC;3.593.471;1.3;12;8;2;4.671.512;558.246;45.142;11.165;16,000;20.552;43.855;156
Senegal8;LMI;8.125.063;0.79;13;82;2;6.418.800;831.235;681.376;16.625;86,000;254.770;738.264;103
Seychelles;UMI;91.361;2.98;12;37;2;272.256;32.535;12.005;651;139,000;4.619;5.478;358
Sierra Leone;LI;2.887.017;0.45;9;84;2;1.299.158;116.275;97.423;2.325;35,000;36.408;121.312;41
Singapore;HIC;4.492.494;1.49;13;0;2;6.693.816;866.849;393;17.337;4,000;6.472;10.878;194
Slovenia;HIC;336.594;1.21;12;1;2;407.279;48.670;550;973;5,000;556;985;145
Solomon Islands8;LMI;618.678;0.79;13;86;2;488.756;63.294;54.608;1.266;90,000;20.394;176.589;103
Somalia;LI;5.971.169;0.6;9;85;2;3.582.701;320.652;271.753;6.413;47,000;101.531;289.601;54
South Africa;UMI;12.899.201;2;12;54;2;25.798.402;3.082.909;1.664.382;61.658;134,000;630.005;836.279;0.24
South Korea;HIC;41.654.619;1.24;9;0;2;51.651.728;4.622.830;0;92.457;1,000;33.747;52.764;112
Spain;HIC;22.771.488;2.13;13;0;2;48.503.269;6.281.173;0;125.623;6,000;45.853;58.932;277
Sri Lanka;LMI;14.568.174;5.1;7;82;2;74.297.687;5.163.689;4.256.120;103.274;299,000;1.591.179;1.918.670;357
Sudan;LMI;752.529;0.79;13;80;2;594.498;76.987;61.277;1.540;83,000;22.928;52.061;103
Suriname;UMI;402.263;1.36;12;15;2;547.078;65.376;9.493;1.308;27,000;3.942;6.394;163
Sweden;HIC;6.202.234;1.61;3;0;2;9.985.597;294.575;0;5.892;1,000;2.150;5.245;48
Syria;LMI;3.621.997;1.37;13;65;2;4.962.136;642.597;419.763;12.852;119,000;157.904;304.960;178
Taiwan;HIC;22.211.567;2.1;12;0;2;46.644.291;5.573.993;13.776;111.480;6,000;45.718;64.631;252
Tanzania;LI;6.688.695;0.26;9;84;2;1.739.061;155.646;129.999;3.113;20,000;48.586;214.196;23
Thailand;UMI;26.043.442;1.2;12;73;2;31.252.130;3.734.630;2.741.031;74.693;108,000;1.027.739;2.179.508;144
Togo;LI;1.991.642;0.52;11;84;2;1.035.654;113.404;94.721;2.268;49,000;35.401;96.994;57
Tokelau;LMI;1.379;0.79;13;82;2;1.089;141;116;3;86,000;43;100;103
Tonga;LMI;102.872;3.71;6;78;2;381.655;22.708;17.694;454;176,000;6.624;10.272;223
Trinidad and Tobago;HIC;1.358.433;14.4;25;3;2;19.561.435;4.880.578;160.103;97.612;190,000;94.066;73.512;0.29
Tunisia;UMI;7.274.973;1.2;12;60;2;8.729.968;1.043.231;621.077;20.865;88,000;234.309;440.701;144
Turkey;UMI;34.042.862;1.77;12;16;2;60.255.866;7.200.576;1.187.323;144.012;39,000;485.937;790.235;212
Turks and Caicos Islands;HIC;22.570;2.1;12;0;2;47.397;5.664;22;113;6,000;49;70;252
Tuvalu;UMI;11.563;1.2;12;73;2;13.876;1.658;1.218;33;108,000;457;861;144
Ukraine;LMI;6.812.799;0.79;13;49;2;5.382.111;696.983;338.841;13.940;52,000;128.765;233.388;103
United Arab Emirates;HIC;2.018.302;1.66;12;0;2;3.350.381;400.371;256;8.007;4,000;3.016;5.910;199
United Kingdom;HIC;43.258.889;1.79;12;0;2;77.433.411;9.253.293;0;185.066;4,000;67.549;94.165;215
United States;HIC;112.925.034;2.58;13;0;2;291.346.588;37.729.383;0;754.588;7,000;275.424;336.819;335
Uruguay8;HIC;2.433.597;2.1;12;8;2;5.110.554;610.711;46.861;12.214;24,000;21.562;8.037;252
Vanuatu;LMI;251.851;3.28;9;81;2;826.071;73.933;60.104;1.479;245,000;22.478;38.006;295
Venezuela8;HIC;16.094.897;2.1;12;5;2;33.799.284;4.039.014;199.585;80.780;17,000;102.333;154.243;252
Vietnam8;LMI;55.858.245;0.79;13;86;2;44.128.014;5.714.578;4.909.870;114.292;90,000;1.833.819;4.172.828;103
Yemen;LMI;6.048.920;0.79;13;73;2;4.778.647;618.835;451.134;12.377;77,000;169.181;513.907;103
